# Symbol;Z;N;atomic_mass(MeV)
Ra;88;220;204939.0
Ra;88;221;205873.0
Ra;88;222;206806.0
Ra;88;223;207740.0
Ra;88;224;208673.0
Ra;88;225;209609.0
Ra;88;226;210541.0
Ra;88;227;211476.0
Ra;88;228;212410.0
Ra;88;229;213345.0
Ra;88;230;214278.0
Ra;88;231;215213.0
Ra;88;232;216148.0
Ra;88;233;217083.0
Ra;88;234;218017.0
Ac;89;207;192830.0
Ac;89;208;193761.0
Ac;89;209;194692.0
Ac;89;210;195622.0
Ac;89;211;196553.0
Ac;89;212;197484.0
Ac;89;213;198415.0
Ac;89;214;199346.0
Ac;89;215;200277.0
Ac;89;216;201211.0
Ac;89;217;202143.0
Ac;89;218;203077.0
Ac;89;219;204008.0
Ac;89;220;204943.0
Ac;89;221;205875.0
Ac;89;222;206808.0
Ac;89;223;207741.0
Ac;89;224;208675.0
Ac;89;225;209608.0
Ac;89;226;210542.0
Ac;89;227;211475.0
Ac;89;228;212410.0
Ac;89;229;213343.0
Ac;89;230;214277.0
Ac;89;231;215211.0
Ac;89;232;216146.0
Ac;89;233;217080.0
Ac;89;234;218014.0
Ac;89;235;218949.0
Ac;89;236;219884.0
Th;90;210;195628.0
Th;90;211;196559.0
Th;90;212;197489.0
Th;90;213;198420.0
Th;90;214;199350.0
Th;90;215;200282.0
Th;90;216;201213.0
Th;90;217;202146.0
Th;90;218;203078.0
Th;90;219;204012.0
Th;90;220;204944.0
Th;90;221;205877.0
Th;90;222;206808.0
Th;90;223;207743.0
Th;90;224;208674.0
Th;90;225;209609.0
Th;90;226;210541.0
Th;90;227;211475.0
Th;90;228;212408.0
Th;90;229;213342.0
Th;90;230;214274.0
Th;90;231;215209.0
Th;90;232;216142.0
Th;90;233;217077.0
Th;90;234;218011.0
Th;90;235;218946.0
Th;90;236;219879.0
Th;90;237;220814.0
Th;90;238;221748.0
Pa;91;213;198428.0
Pa;91;214;199359.0
Pa;91;215;200289.0
Pa;91;216;201220.0
Pa;91;217;202151.0
Pa;91;218;203084.0
Pa;91;219;204016.0
Pa;91;220;204949.0
Pa;91;221;205881.0
Pa;91;222;206814.0
Pa;91;223;207746.0
Pa;91;224;208679.0
Pa;91;225;209610.0
Pa;91;226;210544.0
Pa;91;227;211476.0
Pa;91;228;212410.0
Pa;91;229;213342.0
Pa;91;230;214276.0
Pa;91;231;215209.0
Pa;91;232;216143.0
Pa;91;233;217075.0
Pa;91;234;218010.0
Pa;91;235;218943.0
Pa;91;236;219878.0
Pa;91;237;220812.0
Pa;91;238;221746.0
Pa;91;239;222680.0
Pa;91;240;223615.0
U;92;218;203087.0
U;92;219;204020.0
U;92;220;204952.0
U;92;221;205884.0
U;92;222;206816.0
U;92;223;207749.0
U;92;224;208681.0
U;92;225;209613.0
U;92;226;210545.0
U;92;227;211478.0
U;92;228;212410.0
U;92;229;213343.0
U;92;230;214275.0
U;92;231;215209.0
U;92;232;216141.0
U;92;233;217075.0
U;92;234;218008.0
U;92;235;218942.0
U;92;236;219875.0
U;92;237;220810.0
U;92;238;221743.0
U;92;239;222677.0
U;92;240;223612.0
U;92;241;224546.0
U;92;242;225480.0
Np;93;225;209618.0
Np;93;226;210550.0
Np;93;227;211482.0
Np;93;228;212414.0
Np;93;229;213346.0
Np;93;230;214279.0
Np;93;231;215211.0
Np;93;232;216144.0
Np;93;233;217076.0
Np;93;234;218010.0
Np;93;235;218942.0
Np;93;236;219876.0
Np;93;237;220809.0
Np;93;238;221743.0
Np;93;239;222676.0
Np;93;240;223611.0
Np;93;241;224544.0
Np;93;242;225479.0
Np;93;243;226413.0
Np;93;244;227348.0
Pu;94;228;212417.0
Pu;94;229;213349.0
Pu;94;230;214281.0
Pu;94;231;215213.0
Pu;94;232;216145.0
Pu;94;233;217078.0
Pu;94;234;218010.0
Pu;94;235;218943.0
Pu;94;236;219875.0
Pu;94;237;220809.0
Pu;94;238;221742.0
Pu;94;239;222676.0
Pu;94;240;223609.0
Pu;94;241;224543.0
Pu;94;242;225477.0
Pu;94;243;226411.0
Pu;94;244;227344.0
Pu;94;245;228279.0
Pu;94;246;229213.0
Pu;94;247;230148.0
Am;95;231;215218.0
Am;95;232;216150.0
Am;95;233;217081.0
Am;95;234;218014.0
Am;95;235;218946.0
Am;95;236;219879.0
Am;95;237;220811.0
Am;95;238;221744.0
Am;95;239;222676.0
Am;95;240;223610.0
Am;95;241;224543.0
Am;95;242;225477.0
Am;95;243;226410.0
Am;95;244;227344.0
Am;95;245;228278.0
Am;95;246;229213.0
Am;95;247;230146.0
Am;95;248;231081.0
Am;95;249;232015.0
Cm;96;233;217086.0
Cm;96;234;218016.0
Cm;96;235;218950.0
Cm;96;236;219880.0
Cm;96;237;220813.0
Cm;96;238;221745.0
Cm;96;239;222678.0
Cm;96;240;223611.0
Cm;96;241;224544.0
Cm;96;242;225477.0
Cm;96;243;226410.0
Cm;96;244;227343.0
Cm;96;245;228277.0
Cm;96;246;229210.0
Cm;96;247;230144.0
Cm;96;248;231078.0
Cm;96;249;232013.0
Cm;96;250;232946.0
Cm;96;251;233881.0
Cm;96;252;234816.0
Bk;97;235;218954.0
Bk;97;236;219886.0
Bk;97;237;220817.0
Bk;97;238;221750.0
Bk;97;239;222681.0
Bk;97;240;223614.0
Bk;97;241;224546.0
Bk;97;242;225479.0
Bk;97;243;226412.0
Bk;97;244;227345.0
Bk;97;245;228278.0
Bk;97;246;229212.0
Bk;97;247;230144.0
Bk;97;248;231079.0
Bk;97;249;232012.0
Bk;97;250;232946.0
Bk;97;251;233880.0
Bk;97;252;234815.0
Bk;97;253;235749.0
Bk;97;254;236684.0
Cf;98;237;220822.0
Cf;98;238;221752.0
Cf;98;239;222686.0
Cf;98;240;223616.0
Cf;98;241;224550.0
Cf;98;242;225481.0
Cf;98;243;226414.0
Cf;98;244;227346.0
Cf;98;245;228279.0
Cf;98;246;229212.0
Cf;98;247;230145.0
Cf;98;248;231078.0
Cf;98;249;232012.0
Cf;98;250;232944.0
Cf;98;251;233880.0
Cf;98;252;234813.0
Cf;98;253;235747.0
Cf;98;254;236681.0
Cf;98;255;237616.0
Cf;98;256;238549.0
Es;99;240;223623.0
Es;99;241;224554.0
Es;99;242;225487.0
Es;99;243;226418.0
Es;99;244;227351.0
Es;99;245;228282.0
Es;99;246;229216.0
Es;99;247;230148.0
Es;99;248;231080.0
Es;99;249;232013.0
Es;99;250;232947.0
Es;99;251;233880.0
Es;99;252;234814.0
Es;99;253;235747.0
Es;99;254;236681.0
Es;99;255;237615.0
Es;99;256;238550.0
Es;99;257;239483.0
Fm;100;242;225490.0
Fm;100;243;226423.0
Fm;100;244;227353.0
Fm;100;245;228286.0
Fm;100;246;229217.0
Fm;100;247;230151.0
Fm;100;248;231082.0
Fm;100;249;232016.0
Fm;100;250;232948.0
Fm;100;251;233881.0
Fm;100;252;234813.0
Fm;100;253;235747.0
Fm;100;254;236681.0
Fm;100;255;237615.0
Fm;100;256;238548.0
Fm;100;257;239482.0
Fm;100;258;240416.0
Fm;100;259;241351.0
Md;101;245;228291.0
Md;101;246;229224.0
Md;101;247;230155.0
Md;101;248;231088.0
Md;101;249;232019.0
Md;101;250;232952.0
Md;101;251;233884.0
Md;101;252;234818.0
Md;101;253;235749.0
Md;101;254;236683.0
Md;101;255;237616.0
Md;101;256;238550.0
Md;101;257;239483.0
Md;101;258;240417.0
Md;101;259;241351.0
Md;101;260;242285.0
No;102;249;232024.0
No;102;250;232955.0
No;102;251;233888.0
No;102;252;234819.0
No;102;253;235753.0
No;102;254;236684.0
No;102;255;237618.0
No;102;256;238550.0
No;102;257;239484.0
No;102;258;240417.0
No;102;259;241351.0
No;102;260;242284.0
No;102;261;243219.0
No;102;262;244152.0
Lr;103;251;233893.0
Lr;103;252;234825.0
Lr;103;253;235756.0
Lr;103;254;236690.0
Lr;103;255;237621.0
Lr;103;256;238555.0
Lr;103;257;239487.0
Lr;103;258;240420.0
Lr;103;259;241353.0
Lr;103;260;242287.0
Lr;103;261;243220.0
Lr;103;262;244154.0
Lr;103;263;245086.0
Rf;104;253;235762.0
Rf;104;254;236693.0
Rf;104;255;237625.0
Rf;104;256;238557.0
Rf;104;257;239490.0
Rf;104;258;240422.0
Rf;104;259;241356.0
Rf;104;260;242287.0
Rf;104;261;243221.0
Rf;104;262;244154.0
Rf;104;263;245088.0
Rf;104;264;246021.0
Db;105;255;237631.0
Db;105;256;238563.0
Db;105;257;239495.0
Db;105;258;240427.0
Db;105;259;241359.0
Db;105;260;242292.0
Db;105;261;243224.0
Db;105;262;244158.0
Db;105;263;245090.0
Db;105;264;246023.0
Db;105;265;246957.0
Sg;106;258;240431.0
Sg;106;259;241364.0
Sg;106;260;242295.0
Sg;106;261;243228.0
Sg;106;262;244159.0
Sg;106;263;245093.0
Sg;106;264;246025.0
Sg;106;265;246959.0
Sg;106;266;247891.0
Bh;107;260;242302.0
Bh;107;261;243234.0
Bh;107;262;244166.0
Bh;107;263;245098.0
Bh;107;264;246031.0
Bh;107;265;246962.0
Bh;107;266;247896.0
Bh;107;267;248828.0
